model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize,price
 I20,2017,Manual,9812,Petrol,145,62.8,1,10395
 I20,2018,Manual,4200,Petrol,145,46.3,1.2,10399
 Tucson,2017,Manual,39620,Diesel,145,61.4,1.7,15795
 Kona,2020,Automatic,7000,Hybrid,135,52.3,1.6,15399
 I10,2017,Manual,5600,Petrol,20,60.1,1,7695
 Tucson,2019,Semi-Auto,6000,Diesel,145,40.4,2,26439
 I20,2018,Manual,3600,Petrol,145,65.7,1,9699
 Tucson,2017,Manual,28964,Diesel,30,61.7,1.7,21599
 I10,2016,Manual,19000,Petrol,20,60.1,1,7499
 I10,2017,Manual,11000,Petrol,150,60.1,1,8499
 Kona,2018,Manual,14000,Petrol,150,44.1,1,16499
 I10,2018,Manual,8000,Petrol,150,60.1,1,9499
 I10,2017,Manual,12988,Petrol,20,60.1,1,7990
 I20,2017,Manual,20305,Petrol,30,58.9,1.2,7995
 I30,2016,Manual,24146,Diesel,0,78.4,1.6,8495
 Tucson,2016,Manual,19500,Diesel,125,58.9,2,15797
 I10,2018,Semi-Auto,26405,Petrol,145,47.9,1.2,9000
 Santa Fe,2017,Semi-Auto,41429,Diesel,145,42.8,2.2,18894
 I30,2015,Manual,50047,Diesel,0,78.4,1.6,6990
 I20,2016,Manual,29750,Petrol,20,58.9,1,8500
 Kona,2018,Manual,4896,Petrol,150,52.3,1,14000
 Tucson,2019,Manual,14844,Petrol,145,34.9,1.6,15498
 Kona,2018,Manual,14791,Petrol,145,54.3,1,11498
 Tucson,2017,Semi-Auto,23487,Diesel,125,57.6,1.7,14798
 Tucson,2017,Manual,24107,Diesel,30,61.7,1.7,13998
 I10,2017,Manual,29889,Petrol,145,60.1,1,7259
 I10,2017,Manual,33099,Petrol,145,60.1,1,7259
 Santa Fe,2017,Semi-Auto,39990,Diesel,235,42.8,2.2,17599
 I30,2015,Automatic,49489,Petrol,200,41.5,1.6,8495
 I10,2017,Manual,6725,Petrol,145,60.1,1,7849
 IX20,2016,Automatic,22109,Petrol,160,43.5,1.6,8277
 IX35,2013,Manual,46245,Diesel,145,48.7,1.7,6998
 I10,2018,Manual,8454,Petrol,145,60.1,1,7495
 I10,2017,Manual,21107,Petrol,145,60.1,1,7299
 I10,2017,Manual,35162,Petrol,150,60.1,1,7259
 Santa Fe,2017,Manual,7493,Diesel,200,47.1,2.2,19691
 I10,2018,Manual,9521,Petrol,150,60.1,1,6981
 I10,2015,Manual,41682,Petrol,20,60.1,1,5429
 I10,2017,Semi-Auto,31457,Petrol,145,47.9,1.2,8899
 Kona,2018,Manual,23000,Petrol,145,54.3,1,11295
 Kona,2019,Manual,9401,Petrol,145,44.1,1,14495
 I10,2019,Manual,3011,Petrol,145,49.6,1,8895
 I10,2018,Manual,19407,Petrol,150,60.1,1,7750
 Kona,2018,Manual,14839,Petrol,150,44.1,1,14450
 Tucson,2018,Manual,6210,Petrol,145,34.9,1.6,16500
 Santa Fe,2018,Semi-Auto,17496,Diesel,145,39.2,2.2,29498
 I10,2019,Manual,1497,Petrol,145,49.6,1,9298
 I10,2020,Manual,1900,Petrol,145,56.5,1,12495
 Santa Fe,2019,Semi-Auto,6209,Diesel,145,39.2,2.2,33495
 Kona,2018,Manual,18474,Petrol,145,52.3,1,14495
 IX20,2017,Manual,6368,Petrol,125,50.4,1.4,9698
 Tucson,2017,Semi-Auto,20385,Diesel,150,57.6,1.7,16998
 IX20,2013,Manual,50227,Petrol,150,45.6,1.4,5690
 Tucson,2017,Manual,25117,Diesel,30,61.7,1.7,13995
 I10,2018,Manual,5145,Petrol,145,60.1,1,7995
 I10,2018,Manual,20000,Petrol,145,60.1,1,7995
 I10,2018,Manual,19702,Petrol,145,60.1,1,7995
 I10,2018,Manual,22089,Petrol,145,60.1,1,7995
 I30,2019,Manual,1426,Petrol,145,34,2,24995
 Tucson,2019,Semi-Auto,9750,Hybrid,145,50.4,1.6,21995
 Tucson,2019,Semi-Auto,2875,Hybrid,145,50.4,1.6,27995
 Tucson,2019,Semi-Auto,2248,Petrol,145,36.2,1.6,23995
 I10,2019,Manual,100,Petrol,145,49.6,1,9995
 I10,2019,Manual,4217,Petrol,145,60.1,1,8495
 Tucson,2019,Semi-Auto,2475,Petrol,150,36.2,1.6,22495
 I20,2016,Manual,42754,Petrol,20,58.9,1,7995
 I10,2017,Manual,21786,Petrol,145,60.1,1,6995
 I20,2018,Manual,22875,Petrol,145,58.9,1.2,8995
 Tucson,2016,Manual,58626,Diesel,30,61.7,1.7,12995
 Ioniq,2020,Automatic,2501,Hybrid,135,62.8,1.6,24995
 Santa Fe,2019,Semi-Auto,3200,Diesel,145,39.8,2.2,30995
 I10,2018,Manual,20948,Petrol,145,60.1,1,7495
 I10,2018,Manual,28475,Petrol,150,57.7,1.2,7695
 Kona,2019,Manual,357,Petrol,145,44.1,1,15995
 I10,2019,Manual,450,Petrol,145,49.6,1,9995
 I10,2019,Manual,450,Petrol,145,49.6,1,9995
 I30,2019,Manual,7214,Petrol,145,34,2,23995
 I10,2019,Manual,100,Petrol,145,49.6,1,9995
 Kona,2019,Manual,2658,Petrol,145,44.1,1,15995
 I20,2017,Manual,20888,Petrol,150,58.9,1,9190
 I10,2015,Manual,6380,Petrol,30,57.6,1.2,7750
 Santa Fe,2016,Manual,20578,Diesel,200,47.1,2.2,17000
 I30,2015,Manual,25788,Petrol,235,38.7,1.6,9600
 I30,2015,Manual,47588,Petrol,145,48.7,1.4,7991
 I20,2016,Manual,29750,Petrol,20,58.9,1,8500
 I10,2016,Manual,21000,Petrol,20,60.1,1,5910
 Kona,2018,Manual,19758,Petrol,145,52.3,1,15995
 I800,2019,Automatic,4733,Diesel,145,31.7,2.5,20495
 I30,2019,Manual,3391,Petrol,145,34,2,23995
 Tucson,2018,Manual,10124,Petrol,145,34.9,1.6,15495
 I30,2017,Manual,13261,Petrol,145,56.5,1,11260
 I10,2016,Manual,20956,Petrol,20,60.1,1,6195
 I30,2015,Manual,51641,Diesel,0,78.4,1.6,6691
 I10,2019,Manual,5607,Petrol,145,57.6,1.2,9995
 I10,2019,Manual,100,Petrol,145,60.1,1,8495
 Kona,2019,Manual,5053,Petrol,145,44.1,1,17295
 I20,2018,Manual,5657,Petrol,145,46.3,1.2,10495
 I10,2018,Manual,100,Petrol,145,60.1,1,7995
 Tucson,2019,Manual,2450,Petrol,145,35.3,1.6,18495
 I40,2013,Manual,58232,Diesel,30,65.7,1.7,7191
 I20,2017,Manual,17421,Petrol,145,55.4,1.2,7497
 I20,2013,Automatic,12508,Petrol,145,47.1,1.4,6766
 IX20,2016,Automatic,22978,Petrol,160,43.5,1.6,8998
 Tucson,2016,Manual,21037,Diesel,30,61.7,1.7,12498
 I30,2013,Automatic,74200,Diesel,165,50.4,1.6,5798
 I20,2016,Automatic,28600,Petrol,200,42.2,1.4,8495
 Tucson,2016,Manual,30000,Petrol,160,44.8,1.6,10495
 I30,2017,Manual,11581,Petrol,145,56.5,1,11298
 I10,2014,Manual,31500,Petrol,30,57.6,1.2,6000
 Tucson,2017,Manual,10587,Diesel,145,61.7,1.7,13895
 IX20,2015,Manual,12433,Petrol,125,50.4,1.4,7999
 Ioniq,2017,Automatic,19629,Hybrid,0,78.5,1.6,16000
 Tucson,2016,Manual,56765,Diesel,30,61.7,1.7,11500
 Tucson,2016,Semi-Auto,13769,Diesel,125,57.6,1.7,15000
 Santa Fe,2018,Automatic,15157,Diesel,145,39.2,2.2,30500
 Tucson,2019,Manual,19231,Petrol,150,34.9,1.6,15998
 Tucson,2017,Semi-Auto,38428,Diesel,150,57.6,1.7,13298
 I10,2017,Manual,30010,Petrol,145,60.1,1,6798
 Tucson,2017,Manual,15783,Diesel,30,61.7,1.7,13498
 IX35,2015,Manual,47456,Diesel,160,51.4,2,9995
 Tucson,2017,Manual,19348,Diesel,30,61.7,1.7,13735
 IX35,2014,Manual,61243,Diesel,145,53.3,1.7,7991
 IX20,2015,Manual,27000,Petrol,125,50.4,1.4,6995
 Tucson,2016,Manual,40766,Diesel,30,61.7,1.7,12795
 I800,2019,Automatic,19266,Diesel,145,28,2.5,20995
 Tucson,2018,Semi-Auto,31398,Diesel,145,57.7,1.7,17495
 Tucson,2019,Manual,14618,Petrol,145,34.9,1.6,18995
 I10,2019,Manual,4587,Petrol,145,49.6,1,9995
 I10,2019,Manual,4687,Petrol,145,49.6,1,10295
 Tucson,2019,Manual,100,Petrol,145,35.3,1.6,18995
 I10,2019,Manual,4587,Petrol,145,49.6,1,10295
 I10,2019,Manual,4587,Petrol,145,49.6,1,9995
 Ioniq,2017,Automatic,11062,Hybrid,0,78.5,1.6,16999
 I10,2013,Manual,42186,Petrol,20,61.4,1.2,4120
 Santa Fe,2014,Semi-Auto,69059,Diesel,260,41.5,2.2,11991
 Tucson,2016,Automatic,33943,Diesel,200,46.3,2,20113
 I10,2018,Manual,11350,Petrol,145,57.7,1.2,8450
 Kona,2018,Manual,9616,Petrol,145,52.3,1,13100
 I10,2017,Manual,38578,Petrol,145,60.1,1,6495
 I10,2017,Manual,44013,Petrol,145,60.1,1,5995
 I10,2018,Manual,30397,Petrol,145,57.7,1.2,7495
 Tucson,2017,Manual,47196,Diesel,145,54.3,2,15600
 I30,2019,Manual,3107,Petrol,145,44.8,1.4,15450
 Kona,2019,Manual,5386,Petrol,145,44.1,1,17650
 Ioniq,2019,Automatic,32975,Hybrid,140,78.5,1.6,15698
 I10,2018,Manual,16048,Petrol,150,57.7,1.2,8995
 I10,2017,Manual,10500,Petrol,145,57.7,1.2,7999
 I800,2016,Automatic,48039,Diesel,325,33.6,2.5,12711
 IX35,2015,Manual,23866,Diesel,145,54.3,1.7,9691
 I10,2016,Manual,27516,Petrol,20,60.1,1,6000
 IX20,2017,Manual,37682,Diesel,30,64.2,1.6,8650
 I10,2018,Manual,11175,Petrol,145,57.7,1.2,7850
 Kona,2018,Manual,14682,Petrol,145,44.1,1,13100
 I20,2018,Manual,25516,Petrol,150,46.3,1.2,10000
 IX35,2015,Manual,49291,Diesel,150,53.3,1.7,8498
 Tucson,2017,Semi-Auto,8465,Petrol,150,39.8,1.6,17798
 Ioniq,2018,Automatic,1675,Hybrid,135,78.5,1.6,17297
 Kona,2019,Manual,13230,Petrol,145,44.1,1,14750
 Ioniq,2020,Automatic,5,Hybrid,135,62.8,1.6,22995
 I30,2019,Manual,15,Petrol,150,34,2,23997
 Tucson,2017,Manual,27473,Diesel,30,61.7,1.7,12397
 IX35,2014,Automatic,44205,Diesel,260,41.5,2,9397
 Tucson,2016,Manual,56137,Diesel,145,54.3,2,11797
 Ioniq,2017,Automatic,8305,Hybrid,135,78.5,1.6,15397
 I20,2016,Manual,32158,Petrol,20,58.9,1,7997
 I20,2016,Manual,22307,Petrol,30,56.5,1.2,7297
 I10,2017,Manual,31125,Petrol,20,60.1,1,6397
 I10,2016,Manual,29152,Petrol,30,57.6,1.2,6490
 I10,2019,Manual,100,Petrol,145,60.1,1,8489
 I10,2016,Manual,37000,Petrol,20,61.4,1,5991
 I10,2017,Manual,30891,Petrol,150,60.1,1,7798
 I10,2017,Manual,27000,Petrol,150,60.1,1,6999
 IX20,2017,Automatic,27347,Petrol,150,43.5,1.6,10499
 Tucson,2017,Semi-Auto,31474,Diesel,150,57.6,1.7,14499
 I10,2018,Manual,4245,Petrol,145,60.1,1,7999
 Santa Fe,2016,Manual,14785,Diesel,200,46.3,2.2,19797
 I10,2017,Semi-Auto,27585,Petrol,145,47.9,1.2,8397
 I10,2019,Semi-Auto,8008,Petrol,150,47.9,1.2,9987
 I30,2018,Manual,28014,Petrol,150,52.3,1.4,11197
 I20,2013,Manual,47602,Petrol,30,57.6,1.2,4950
 I10,2014,Manual,23026,Petrol,30,57.6,1.2,5702
 Ioniq,2019,Automatic,3346,Hybrid,135,78.5,1.6,19897
 I10,2018,Manual,7096,Petrol,145,57.7,1.2,7987
 I10,2018,Manual,12215,Petrol,145,60.1,1,7467
 I30,2019,Manual,5088,Petrol,145,42.2,1.4,16797
 Kona,2019,Manual,4989,Petrol,145,44.1,1,14897
 Tucson,2019,Manual,15,Petrol,145,34.9,1.6,17697
 Tucson,2019,Manual,5,Petrol,145,34.9,1.6,17697
 Tucson,2016,Manual,20707,Petrol,160,44.8,1.6,12990
 IX20,2017,Automatic,27185,Petrol,160,43.5,1.6,9690
 Tucson,2017,Manual,18772,Diesel,30,61.7,1.7,14490
 Kona,2019,Manual,1850,Petrol,145,44.1,1,14989
 Tucson,2019,Semi-Auto,4371,Diesel,145,40.4,2,27989
 I20,2019,Manual,10686,Petrol,145,46.3,1.2,11489
 I10,2017,Manual,22969,Petrol,145,60.1,1,6789
 I10,2017,Manual,39877,Petrol,145,60.1,1,5789
 I10,2017,Manual,6787,Petrol,145,57.7,1.2,8989
 I30,2019,Manual,3391,Petrol,145,34,2,22989
 I10,2019,Manual,5607,Petrol,145,57.6,1.2,8489
 I20,2016,Manual,15085,Petrol,30,58.9,1,9560
 I30,2013,Manual,73856,Petrol,160,46,1.4,5450
 Tucson,2019,Manual,223,Petrol,145,34.9,1.6,21490
 I10,2017,Manual,11037,Petrol,145,60.1,1,7500
 Ioniq,2019,Automatic,5308,Hybrid,135,78.5,1.6,21000
 Tucson,2017,Manual,24987,Diesel,30,61.7,1.7,14290
 IX20,2014,Manual,37666,Diesel,30,64.2,1.6,6190
 I10,2018,Manual,10293,Petrol,145,57.6,1.2,8990
 Tucson,2017,Manual,20656,Diesel,30,61.7,1.7,14490
 I30,2015,Manual,28737,Petrol,145,48.7,1.4,8490
 I40,2015,Automatic,23043,Diesel,200,47.1,1.7,10995
 Tucson,2017,Manual,18856,Diesel,30,61.7,1.7,14490
 I10,2017,Manual,13088,Petrol,30,57.7,1.2,7500
 I10,2018,Manual,9934,Petrol,145,57.7,1.2,8750
 I10,2018,Manual,9151,Petrol,145,57.7,1.2,8750
 Tucson,2019,Manual,14593,Petrol,145,34.9,1.6,19000
 I30,2018,Manual,11651,Diesel,145,74.3,1.6,11500
 I10,2014,Manual,21029,Petrol,30,57.6,1.2,6000
 Tucson,2017,Manual,26393,Diesel,125,58.9,2,16750
 Tucson,2016,Manual,9952,Diesel,145,54.3,2,16000
 Tucson,2017,Manual,24230,Petrol,160,44.8,1.6,12490
 Santa Fe,2016,Manual,10236,Diesel,200,47.1,2.2,17790
 I10,2018,Manual,7727,Petrol,145,60.1,1,9000
 I20,2019,Manual,12884,Petrol,150,46.3,1.2,9750
 I10,2019,Manual,11005,Petrol,150,57.6,1.2,9250
 I30,2018,Manual,10429,Petrol,150,56.5,1,11000
 IX20,2014,Manual,47961,Diesel,30,64.2,1.6,5495
 IX20,2016,Manual,12936,Petrol,125,50.4,1.4,9495
 I20,2017,Manual,17630,Petrol,20,62.8,1,8495
 I10,2018,Manual,13678,Petrol,145,60.1,1,7490
 I10,2015,Manual,45278,Petrol,20,60.1,1,4990
 I10,2017,Manual,26570,Petrol,20,60.1,1,5790
 I20,2018,Manual,4222,Petrol,145,46.3,1.2,9490
 Tucson,2016,Manual,26573,Diesel,30,61.7,1.7,12990
 Kona,2018,Manual,32157,Petrol,145,44.1,1,14690
 Tucson,2016,Automatic,39573,Diesel,200,47.1,2,14490
 IX20,2017,Automatic,19825,Petrol,160,43.5,1.6,10290
 I10,2019,Manual,3066,Petrol,145,60.1,1,8995
 I10,2017,Manual,7808,Petrol,30,57.7,1.2,8250
 IX20,2016,Automatic,15728,Petrol,165,43.5,1.6,9750
 I10,2018,Manual,9533,Petrol,150,60.1,1,8000
 Tucson,2019,Semi-Auto,4479,Petrol,150,35.8,1.6,23500
 IX35,2014,Manual,41778,Diesel,150,53.3,1.7,8500
 I20,2018,Manual,4650,Petrol,145,56.5,1,11995
 Santa Fe,2016,Manual,34284,Diesel,200,47.1,2.2,18491
 IX20,2017,Automatic,31128,Petrol,145,43.5,1.6,9795
 Kona,2019,Manual,4459,Petrol,145,44.1,1,16495
 I30,2019,Manual,1636,Petrol,145,34,2,23995
 I10,2018,Manual,22539,Petrol,145,60.1,1,6995
 Ioniq,2019,Automatic,4967,Hybrid,135,78.5,1.6,16895
 I10,2019,Manual,10560,Petrol,145,60.1,1,7495
 I10,2018,Manual,6393,Petrol,145,60.1,1,7495
 I10,2017,Manual,10500,Petrol,145,60.1,1,7295
 I10,2017,Semi-Auto,36681,Petrol,145,47.9,1.2,8995
 Ioniq,2019,Automatic,6918,Hybrid,135,78.5,1.6,16995
 Tucson,2019,Manual,11133,Petrol,145,34.9,1.6,15995
 Tucson,2016,Manual,25329,Diesel,30,61.7,1.7,12995
 IX20,2017,Manual,10279,Petrol,145,50.4,1.4,9795
 Tucson,2019,Manual,11695,Petrol,145,34.9,1.6,16495
 Santa Fe,2019,Semi-Auto,2265,Diesel,145,39.2,2.2,35995
 Kona,2019,Semi-Auto,16,Petrol,145,37.7,1.6,20990
 I10,2017,Manual,30195,Petrol,145,60.1,1,6295
 Tucson,2019,Manual,10385,Petrol,145,34.9,1.6,19995
 I30,2017,Manual,11249,Petrol,30,56.5,1,10995
 I10,2017,Semi-Auto,31564,Petrol,145,47.9,1.2,8495
 I800,2018,Manual,37902,Diesel,145,37.7,2.5,14495
 Ioniq,2019,Automatic,4328,Hybrid,135,78.5,1.6,19495
 Ioniq,2019,Automatic,4454,Hybrid,135,78.5,1.6,17995
 Tucson,2018,Semi-Auto,2191,Petrol,150,39.8,1.6,17995
 Tucson,2017,Manual,10320,Diesel,30,61.7,1.7,12991
 Tucson,2018,Automatic,38183,Diesel,145,57.7,1.7,16040
 I30,2017,Manual,18539,Diesel,145,78.4,1.6,10999
 I30,2016,Manual,53878,Diesel,20,72.4,1.6,8999
 Santa Fe,2019,Automatic,4995,Diesel,145,39.8,2.2,32750
 Tucson,2018,Manual,10465,Petrol,145,44.8,1.6,14995
 I800,2018,Manual,39010,Diesel,145,37.7,2.5,13992
 I800,2017,Manual,29100,Diesel,300,37.7,2.5,14777
 Tucson,2015,Manual,26499,Diesel,30,61.7,1.7,11050
 Tucson,2018,Manual,18423,Petrol,145,34.9,1.6,14995
 Kona,2018,Manual,76,Petrol,145,44.1,1,16995
 Tucson,2019,Manual,8359,Petrol,145,34.9,1.6,16995
 I20,2017,Manual,23372,Petrol,20,62.8,1,9995
 Tucson,2019,Manual,2361,Hybrid,145,48.7,1.6,22995
 I30,2019,Manual,2511,Petrol,145,42.2,1.4,16995
 Ioniq,2019,Automatic,7865,Hybrid,135,78.5,1.6,23995
 I10,2019,Manual,2198,Petrol,145,60.1,1,8995
 I10,2018,Manual,10224,Petrol,145,57.7,1.2,8295
 I30,2015,Manual,29900,Diesel,20,72.4,1.6,8995
 Tucson,2017,Manual,13330,Diesel,30,61.7,1.7,13995
 I30,2017,Manual,15882,Petrol,150,52.3,1.4,11990
 Tucson,2018,Manual,14427,Petrol,150,44.8,1.6,14500
 I20,2019,Manual,9748,Petrol,145,46.3,1.2,10200
 Tucson,2017,Semi-Auto,34755,Diesel,125,57.6,1.7,15991
 Tucson,2017,Semi-Auto,28979,Diesel,125,57.6,1.7,14420
 I10,2014,Manual,18724,Petrol,20,60.1,1,5794
 IX35,2013,Manual,47232,Diesel,200,48.7,2,7776
 Tucson,2018,Semi-Auto,9545,Petrol,150,39.8,1.6,18200
 Tucson,2018,Semi-Auto,9545,Petrol,150,39.8,1.6,18200
 I10,2017,Manual,33000,Petrol,145,57.7,1.2,6950
 IX20,2017,Manual,12689,Petrol,145,50.4,1.4,9750
 I800,2019,Automatic,15927,Diesel,145,28,2.5,18995
 I30,2018,Manual,17774,Petrol,145,56.5,1,10575
 Tucson,2018,Automatic,16500,Petrol,145,36.2,1.6,17350
 I10,2016,Manual,17497,Petrol,20,61.4,1,6250
 Tucson,2017,Automatic,28354,Diesel,150,46.3,2,15490
 I20,2016,Manual,46164,Diesel,20,68.9,1.4,6990
 Kona,2018,Manual,19793,Petrol,145,52.3,1,14490
 I20,2017,Manual,20677,Petrol,145,58.9,1,9990
 Tucson,2018,Manual,12492,Petrol,150,44.8,1.6,14990
 Tucson,2018,Manual,12720,Petrol,150,44.8,1.6,14990
 Tucson,2018,Manual,13934,Petrol,150,44.8,1.6,14500
 Kona,2019,Manual,15139,Petrol,150,44.1,1,14600
 Ioniq,2018,Automatic,12306,Hybrid,140,78.5,1.6,16990
 I10,2020,Manual,2000,Petrol,145,60.1,1,8990
 I10,2019,Manual,2738,Petrol,145,60.1,1,8290
 I30,2018,Manual,29225,Petrol,150,34,2,18490
 Tucson,2019,Manual,5000,Petrol,145,34.9,1.6,16990
 I10,2018,Manual,12668,Petrol,145,57.7,1.2,8450
 I800,2018,Automatic,34605,Diesel,145,28,2.5,15990
 IX20,2017,Manual,6380,Petrol,145,50.4,1.4,9490
 I30,2019,Manual,3750,Petrol,145,42.2,1.4,17490
 I40,2019,Semi-Auto,2450,Diesel,145,53.3,1.6,19490
 IX20,2019,Manual,3850,Petrol,145,37.2,1.6,12490
 Kona,2018,Semi-Auto,11446,Petrol,145,42.2,1.6,18290
 Kona,2019,Semi-Auto,10,Petrol,145,37.7,1.6,22990
 I30,2019,Manual,3000,Petrol,145,34,2,24990
 Santa Fe,2019,Semi-Auto,2199,Diesel,145,39.2,2.2,36990
 I10,2019,Manual,3000,Petrol,145,49.6,1,8990
 Tucson,2016,Manual,52549,Diesel,30,61.7,1.7,11490
 Tucson,2016,Semi-Auto,43362,Diesel,125,57.6,1.7,15990
 Tucson,2019,Semi-Auto,15644,Petrol,150,36.2,1.6,17500
 Kona,2018,Manual,19,Petrol,145,44.1,1,16995
 IX20,2017,Manual,14962,Diesel,145,64.2,1.6,9390
 I10,2017,Manual,30193,Petrol,145,60.1,1,6490
 I10,2016,Manual,23552,Petrol,30,57.6,1.2,7250
 Santa Fe,2019,Semi-Auto,9993,Diesel,145,42.8,2.2,29990
 Kona,2018,Manual,10452,Petrol,145,44.1,1,12490
 Kona,2018,Manual,24239,Petrol,145,52.3,1,13490
 Kona,2018,Manual,18984,Petrol,145,52.3,1,12790
 Tucson,2019,Manual,17970,Petrol,150,34.9,1.6,15790
 I10,2018,Semi-Auto,29700,Petrol,150,47.9,1.2,9200
 I20,2019,Manual,14925,Petrol,145,46.3,1.2,9890
 Ioniq,2018,Automatic,11165,Hybrid,135,78.5,1.6,18799
 I10,2018,Manual,4500,Petrol,145,60.1,1,7890
 Tucson,2019,Semi-Auto,13136,Petrol,150,36.2,1.6,17500
 I20,2019,Manual,11435,Petrol,150,46.3,1.2,10990
 Kona,2018,Manual,19,Petrol,145,44.1,1,17495
 Tucson,2017,Automatic,23679,Diesel,150,47.1,2,18899
 Tucson,2017,Semi-Auto,9191,Diesel,125,57.6,1.7,15730
 I30,2016,Manual,26199,Petrol,145,48.7,1.4,8417
 Tucson,2017,Manual,26596,Petrol,145,44.8,1.6,13095
 I30,2018,Manual,38366,Petrol,145,56.5,1,10733
 Tucson,2017,Manual,33110,Diesel,30,61.7,1.7,13700
 I30,2017,Manual,16570,Petrol,150,52.3,1.4,11990
 Tucson,2019,Manual,508,Diesel,145,48.7,1.6,18990
 Tucson,2019,Semi-Auto,4011,Diesel,145,47.1,1.6,20490
 I10,2019,Manual,1222,Petrol,145,49.6,1,8990
 Kona,2018,Semi-Auto,10167,Petrol,145,42.2,1.6,18990
 I10,2019,Manual,3000,Petrol,145,49.6,1,8990
 IX20,2016,Manual,38186,Diesel,30,64.2,1.6,6990
 Tucson,2018,Manual,12964,Petrol,150,44.8,1.6,14990
 Tucson,2019,Semi-Auto,5000,Petrol,150,36.2,1.6,22000
 Kona,2020,Manual,3500,Petrol,150,44.1,1,14990
 Kona,2018,Manual,5357,Petrol,150,44.1,1,14800
 Tucson,2018,Manual,10309,Petrol,150,35.3,1.6,16990
 Tucson,2017,Manual,29000,Diesel,150,61.4,1.7,14795
 I30,2017,Semi-Auto,19000,Petrol,145,51.4,1.4,11995
 I10,2019,Manual,7000,Petrol,145,60.1,1,9295
 Tucson,2019,Manual,8045,Hybrid,145,51.4,1.6,20990
 Tucson,2019,Manual,8009,Petrol,145,34.9,1.6,17490
 Kona,2019,Manual,7842,Petrol,145,44.1,1,15990
 Tucson,2019,Manual,11958,Petrol,145,34.9,1.6,15799
 Ioniq,2019,Automatic,9337,Hybrid,135,78.5,1.6,17699
 I10,2017,Manual,18600,Petrol,30,57.6,1.2,6699
 I20,2019,Automatic,358,Petrol,145,49.6,1,13750
 Tucson,2017,Manual,15679,Diesel,145,61.7,1.7,14499
 I800,2018,Automatic,33943,Diesel,145,28,2.5,16699
 Tucson,2017,Manual,8256,Diesel,125,58.9,2,17899
 Tucson,2019,Semi-Auto,17452,Petrol,150,36.2,1.6,17490
 I10,2018,Semi-Auto,25968,Petrol,150,47.9,1.2,8995
 Tucson,2015,Manual,29083,Diesel,125,58.9,2,13369
 I20,2019,Manual,3000,Petrol,145,46.3,1.2,13290
 Kona,2018,Manual,9001,Petrol,145,52.3,1,15990
 I30,2019,Manual,4462,Petrol,145,34,2,23990
 IX20,2018,Manual,15853,Petrol,150,50.4,1.4,10690
 I10,2015,Manual,42692,Petrol,20,61.4,1,5000
 I20,2014,Manual,42545,Petrol,30,57.6,1.2,4993
 Tucson,2019,Automatic,2324,Hybrid,145,50.4,1.6,24990
 Kona,2019,Automatic,165,Petrol,145,37.7,1.6,19990
 Kona,2019,Automatic,144,Petrol,145,37.7,1.6,20990
 I800,2018,Automatic,36501,Diesel,145,28,2.5,17990
 I20,2019,Manual,12545,Petrol,145,46.3,1.2,9890
 I20,2019,Manual,17084,Petrol,145,46.3,1.2,9699
 I20,2019,Manual,17516,Petrol,145,46.3,1.2,9699
 Tucson,2016,Manual,39002,Diesel,145,54.3,2,13690
 Tucson,2016,Manual,23190,Diesel,30,61.7,1.7,13990
 I10,2016,Semi-Auto,15047,Petrol,145,47.9,1.2,7990
 I30,2016,Manual,33466,Diesel,0,78.4,1.6,8990
 Santa Fe,2019,Semi-Auto,4721,Diesel,145,39.8,2.2,29290
 I30,2019,Manual,4765,Petrol,145,42.2,1.4,17690
 Kona,2019,Semi-Auto,4461,Diesel,145,52.3,1.6,17990
 Tucson,2017,Semi-Auto,11247,Diesel,125,57.6,1.7,15999
 I800,2018,Manual,38984,Diesel,150,37.7,2.5,14900
 I10,2019,Manual,14002,Petrol,150,60.1,1,8000
 I10,2018,Manual,9170,Petrol,150,57.7,1.2,8650
 I20,2019,Manual,8195,Petrol,150,46.3,1.2,10590
 Ioniq,2017,Automatic,20005,Hybrid,140,78.5,1.6,15190
 Tucson,2019,Semi-Auto,4779,Petrol,150,36.2,1.6,17850
 I10,2018,Manual,21368,Petrol,150,57.6,1.2,8690
 Tucson,2018,Automatic,15327,Diesel,145,43.5,2,20900
 Tucson,2019,Semi-Auto,2617,Hybrid,145,50.4,1.6,26490
 I20,2017,Manual,18440,Petrol,150,62.8,1,8990
 I10,2016,Manual,33589,Petrol,20,60.1,1,5690
 I10,2018,Manual,9661,Petrol,145,60.1,1,7040
 I30,2015,Manual,33830,Diesel,0,78.4,1.6,7560
 I10,2015,Manual,22020,Petrol,30,57.6,1.2,6497
 Tucson,2017,Manual,17310,Diesel,145,61.7,1.7,12490
 I10,2017,Manual,29880,Petrol,145,57.7,1.2,7464
 IX20,2016,Manual,53220,Petrol,125,50.4,1.4,7484
 Tucson,2019,Semi-Auto,15630,Petrol,145,36.2,1.6,18100
 I40,2019,Semi-Auto,8651,Diesel,145,53.3,1.6,17990
 Tucson,2019,Manual,8641,Hybrid,145,47.9,1.6,23490
 I20,2016,Manual,16263,Petrol,30,55.4,1.2,9999
 Ioniq,2019,Semi-Auto,3103,Hybrid,135,78.5,1.6,21495
 Ioniq,2017,Automatic,20513,Hybrid,135,78.5,1.6,16595
 Kona,2018,Manual,76,Petrol,145,44.1,1,17495
